"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Row0",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row1",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row2",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row3",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row4",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row5",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row6",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row7",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row8",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row9",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row10",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row11",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row12",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row13",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row14",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row15",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row16",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row17",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row18",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row19",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row20",0.038069349381344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
